content,score,label,reviewCreatedVersion,at,appVersion,content_lower_case
pelayan sangat bagus,5,1,5.40.1,2026-01-27 11:51:06,5.40.1,pelayan sangat bagus
detik ini makin buruk order drivernya ga da kabar mau pickuup apa ga sekali dapet jauh banget perjalanan cuma 10 menit waktu tunggu driver juga lebih lama dan titik lokasi driver tiba tiba sering berubah dari hanya 2 menit menjadi 10 menit pas dicek ternyata titik lokasi berubah dari dekat jadi jauh alhasil jadi sering batal sepihak dari customer dan merugikan customer dari waktu juga,1,0,5.45.1,2026-01-27 11:47:33,5.45.1,detik ini makin buruk order drivernya ga da kabar mau pickuup apa ga sekali dapet jauh banget perjalanan cuma 10 menit waktu tunggu driver juga lebih lama dan titik lokasi driver tiba tiba sering berubah dari hanya 2 menit menjadi 10 menit pas dicek ternyata titik lokasi berubah dari dekat jadi jauh alhasil jadi sering batal sepihak dari customer dan merugikan customer dari waktu juga
saya gak bisa hapus akun padahal nomor telepon udah mati dan pin juga lupa tolong diperhatikan,1,0,5.47.1,2026-01-27 11:43:41,5.47.1,saya gak bisa hapus akun padahal nomor telepon udah mati dan pin juga lupa tolong diperhatikan
hemat praktis dan banyak diskon nya perluas lagi jangkauan pelayanan nya,5,1,5.46.2,2026-01-27 11:38:23,5.46.2,hemat praktis dan banyak diskon nya perluas lagi jangkauan pelayanan nya
"aplikasinya gak jelas bgt ., cuman telat bayar pinjaman aja langsung ditolak lagi pengajuannya ., padahal cuman telat 2 atau 3 hari aja bayar nya lamgsung gak bisa pakai lagi",1,0,5.47.1,2026-01-27 11:34:26,5.47.1,aplikasinya gak jelas bgt cuman telat bayar pinjaman aja langsung ditolak lagi pengajuannya padahal cuman telat 2 atau 3 hari aja bayar nya lamgsung gak bisa pakai lagi
"knapa sekarang kalau pesen gocar posisi driver selalu dpet yg jauh. Waktu mnunggu bisa 7-13 mnit udh gitu driver kdang gak ada respon. Cek maps posisi driver gak gerak dn tdk ada respon apapun shingga pelanggan yg hrus mengcancel. Udah brapa kali bgini terus,, Mohon dperbaiki",2,0,5.46.2,2026-01-27 11:17:30,5.46.2,knapa sekarang kalau pesen gocar posisi driver selalu dpet yg jauh waktu mnunggu bisa 7 13 mnit udh gitu driver kdang gak ada respon cek maps posisi driver gak gerak dn tdk ada respon apapun shingga pelanggan yg hrus mengcancel udah brapa kali bgini terus mohon dperbaiki
bintang 5,5,1,5.46.2,2026-01-27 11:13:37,5.46.2,bintang 5
makin lama makin aneh susah masuk,1,0,,2026-01-27 10:51:38,,makin lama makin aneh susah masuk
good deh gojek,3,0,5.47.1,2026-01-27 10:49:24,5.47.1,good deh gojek
good,5,1,5.47.1,2026-01-27 10:27:03,5.47.1,good
aplikasi keren banyak promo,5,1,5.47.1,2026-01-27 9:57:45,5.47.1,aplikasi keren banyak promo
"Pencarian Driver untuk GO-SEND Lama Banget, akhirnya harus pindah aplikasi. padahal dulu sering pakai untuk kirim bsrang dari toko.",2,0,5.47.1,2026-01-27 9:57:04,5.47.1,pencarian driver untuk go send lama banget akhirnya harus pindah aplikasi padahal dulu sering pakai untuk kirim bsrang dari toko
ramah tamah,5,1,5.47.1,2026-01-27 9:55:43,5.47.1,ramah tamah
"Sistem Ordernya Mantap, sehingga driver cepat sampai di titik penjemputan.",5,1,5.46.2,2026-01-27 9:46:18,5.46.2,sistem ordernya mantap sehingga driver cepat sampai di titik penjemputan
"selalu terbantu,,,semoga kedepannya semakin maju ,bisa mensejetrahkan para mitra juga",5,1,5.47.1,2026-01-27 9:37:11,5.47.1,selalu terbantu semoga kedepannya semakin maju bisa mensejetrahkan para mitra juga
hati2 dgn driver mtr novit asari B 5184 BLV. nagih pembayaran 2x. saat ini dia ad di maxim. jaga2 aj ad di sini jg,4,1,5.47.1,2026-01-27 9:22:38,5.47.1,hati2 dgn driver mtr novit asari b 5184 blv nagih pembayaran 2x saat ini dia ad di maxim jaga2 aj ad di sini jg
pelayanan bsik,5,1,5.47.1,2026-01-27 9:13:12,5.47.1,pelayanan bsik
good,5,1,,2026-01-27 8:50:19,,good
the Best banget terimakasih,5,1,5.46.2,2026-01-27 8:42:44,5.46.2,the best banget terimakasih
oke,5,1,5.47.1,2026-01-27 8:32:36,5.47.1,oke
Keren...,5,1,5.47.1,2026-01-27 8:16:53,5.47.1,keren
mantaap,5,1,5.45.1,2026-01-27 7:42:20,5.45.1,mantaap
lumayan bagus sih tapi kadang kadang perana eror,4,1,5.47.1,2026-01-27 7:38:48,5.47.1,lumayan bagus sih tapi kadang kadang perana eror
Aplikasi ini banyak membantu. Sayang program tukar point nya sekarang jadi sangat tidak menarik dibanding dulu. Sia-sia punya point banyak. Bagian ini agak mengecewakan,3,0,5.44.1,2026-01-27 7:35:20,5.44.1,aplikasi ini banyak membantu sayang program tukar point nya sekarang jadi sangat tidak menarik dibanding dulu sia sia punya point banyak bagian ini agak mengecewakan
keren,5,1,5.47.1,2026-01-27 7:24:23,5.47.1,keren
mantap,5,1,,2026-01-27 7:05:20,,mantap
"drivernya ga beres semua aneh dah gabisa sabar org uda di bilang tunggu 1-2 menit dulu malah di kata2in tolol tu driver ke gua anehh, tolong deh ya kasi penjelasan ke driver2 nya buat ga gitu lagi ngeselin banget",1,0,,2026-01-27 6:32:25,,drivernya ga beres semua aneh dah gabisa sabar org uda di bilang tunggu 1 2 menit dulu malah di kata2in tolol tu driver ke gua anehh tolong deh ya kasi penjelasan ke driver2 nya buat ga gitu lagi ngeselin banget
"cepat, dan aman",5,1,5.46.2,2026-01-27 6:26:22,5.46.2,cepat dan aman
trimakasih gojek,5,1,5.47.1,2026-01-27 6:18:05,5.47.1,trimakasih gojek
tidak bisa transfer ke rekening bank,1,0,,2026-01-27 5:56:29,,tidak bisa transfer ke rekening bank
mantapp,5,1,5.47.1,2026-01-27 5:54:11,5.47.1,mantapp
oke,5,1,5.46.2,2026-01-27 5:28:46,5.46.2,oke
mantap,5,1,5.44.1,2026-01-27 5:24:38,5.44.1,mantap
bagus,5,1,,2026-01-27 5:20:09,,bagus
baik,5,1,5.46.2,2026-01-27 5:11:13,5.46.2,baik
"gojek favorit saya sejak dl,gak pernah gagal berikan yg terbaik untuk customer,dari awal gojek the best",5,1,5.47.1,2026-01-27 5:08:04,5.47.1,gojek favorit saya sejak dl gak pernah gagal berikan yg terbaik untuk customer dari awal gojek the best
mending pakai Maxim sekarang dah ga bakalan pakai gojeg lagi,1,0,5.47.1,2026-01-27 4:53:15,5.47.1,mending pakai maxim sekarang dah ga bakalan pakai gojeg lagi
bagus,5,1,5.26.1,2026-01-27 4:42:28,5.26.1,bagus
👍,5,1,,2026-01-27 3:10:01,,
sukses pak.pertahankan ya keramahannnya,5,1,,2026-01-27 3:05:25,,sukses pak pertahankan ya keramahannnya
👍🫰,5,1,5.47.1,2026-01-27 3:05:05,5.47.1,
the best drivernya,5,1,5.47.1,2026-01-27 2:51:41,5.47.1,the best drivernya
mantap,5,1,5.43.1,2026-01-27 2:30:44,5.43.1,mantap
pelayanan memuaskan,5,1,5.47.1,2026-01-27 1:48:47,5.47.1,pelayanan memuaskan
aplikasi yang sangat membantu,5,1,5.47.1,2026-01-27 1:45:40,5.47.1,aplikasi yang sangat membantu
sangat baik,5,1,5.46.2,2026-01-27 1:31:59,5.46.2,sangat baik
mau daftar sebagai cust masa disuruh nunggu 30 jam.. sue lah,1,0,5.47.1,2026-01-27 1:29:12,5.47.1,mau daftar sebagai cust masa disuruh nunggu 30 jam sue lah
payah ujug ujug saldo ketarik 34.900..w ga tau itu buat langganan apaan..udh w cari di tokopedia ga ada..di aplikas gojek ga mau masuk akun w..bingung dah..udh 2x beginiiii..bener bener di bikin kecewa..,2,0,,2026-01-27 1:17:04,,payah ujug ujug saldo ketarik 34 900 w ga tau itu buat langganan apaan udh w cari di tokopedia ga ada di aplikas gojek ga mau masuk akun w bingung dah udh 2x beginiiii bener bener di bikin kecewa
mantapp,5,1,5.46.2,2026-01-27 1:09:42,5.46.2,mantapp
aplikasi model OPO Iki gak berfungsi blasss,1,0,5.47.1,2026-01-27 0:52:55,5.47.1,aplikasi model opo iki gak berfungsi blasss
"jemputan cepat, perjalanan aman nyaman",5,1,5.44.1,2026-01-27 0:47:11,5.44.1,jemputan cepat perjalanan aman nyaman
cepat dan berhati hati.... safety,5,1,5.47.1,2026-01-27 0:45:29,5.47.1,cepat dan berhati hati safety
"kenapa sih kalo dapet driver pasti drivernya yang jauh, giliran dibatalin harganya malah naek",1,0,5.45.1,2026-01-27 0:18:50,5.45.1,kenapa sih kalo dapet driver pasti drivernya yang jauh giliran dibatalin harganya malah naek
"untuk pemesanan bagus ya gercep , gak harus nunggu lama, tapi tolong untuk semua driver, pastikan ketika bawa penumpang jangan kebut²an , saya udh sering banget dapet driver kebut²an, pentingnya menjaga keselamatan diri , selain buat penumpang buat para driver juga perlu ,kalo udah celaka selain penumpang yg kena, kalian juga para driver ikutan celaka, tolong jangan kebut²an pentingnya menjaga keselamatan !!",4,1,5.34.2,2026-01-27 0:13:02,5.34.2,untuk pemesanan bagus ya gercep gak harus nunggu lama tapi tolong untuk semua driver pastikan ketika bawa penumpang jangan kebut an saya udh sering banget dapet driver kebut an pentingnya menjaga keselamatan diri selain buat penumpang buat para driver juga perlu kalo udah celaka selain penumpang yg kena kalian juga para driver ikutan celaka tolong jangan kebut an pentingnya menjaga keselamatan
"tolong sistem gojek diperbaiki, masa dapet driver pada jauh, lama lama customer pindah ke apk sebelah",1,0,5.44.1,2026-01-26 23:58:48,5.44.1,tolong sistem gojek diperbaiki masa dapet driver pada jauh lama lama customer pindah ke apk sebelah
"Daerah cilebut pencarian driver susah sekali dapet jauh , argo cepet naik 1 menit dari 15 ribu ke 20 rb , bikin telat terus",1,0,,2026-01-26 23:51:41,,daerah cilebut pencarian driver susah sekali dapet jauh argo cepet naik 1 menit dari 15 ribu ke 20 rb bikin telat terus
banyak driver yg tidak punya sopan santun,1,0,,2026-01-26 23:41:10,,banyak driver yg tidak punya sopan santun
"aplikasi tolol, dari jam 6 sampai jam 7 gak dapet dapet, mana sekali dapet tarifnya naik jadi 30 ribu, dari 23",1,0,,2026-01-26 23:33:37,,aplikasi tolol dari jam 6 sampai jam 7 gak dapet dapet mana sekali dapet tarifnya naik jadi 30 ribu dari 23
lebih mudah,5,1,,2026-01-26 23:27:26,,lebih mudah
"tolong dong diperbaiki lagiuntuk fitur pencarian drivernya, udah bayar pake gitu cepat juga tetep dikasih yg jauh. orang pakai ini biar makin mudah ini malah jadi dipersulit, harus sabar nunggu drivernya lahhh",3,0,5.46.2,2026-01-26 23:26:12,5.46.2,tolong dong diperbaiki lagiuntuk fitur pencarian drivernya udah bayar pake gitu cepat juga tetep dikasih yg jauh orang pakai ini biar makin mudah ini malah jadi dipersulit harus sabar nunggu drivernya lahhh
Yess....good,3,0,5.45.1,2026-01-26 23:24:06,5.45.1,yess good
pelayanan sangat baik,5,1,5.47.1,2026-01-26 23:14:18,5.47.1,pelayanan sangat baik
tidak worth it susaah dpt driver,1,0,5.46.2,2026-01-26 23:09:16,5.46.2,tidak worth it susaah dpt driver
"kemanapun dan utk apapun, great app",5,1,5.47.1,2026-01-26 23:04:15,5.47.1,kemanapun dan utk apapun great app
Halo admin Gojek tolong perbaiki masalah maps yang titiknya tidak sesuai. Titik pengantaran sering berbeda ratusan meter.,2,0,5.46.2,2026-01-26 22:47:24,5.46.2,halo admin gojek tolong perbaiki masalah maps yang titiknya tidak sesuai titik pengantaran sering berbeda ratusan meter
"Mau komplain, koinnya makin kesini makin dikit aja sih ngeselin dehh, mana sekarang ada voucher nya lagi kaya Gopay ga full koin lagi, padahal dapet banyak koin ngebantu aku banget loh buat bayar tagihan yang mahal ini , aku jadi punya sedikit saldo buat beli mie instan di online, soalnya aku ga selalu punya uang kalo abis bayar tagihan. Gojekk ngeselin parah ........",1,0,5.47.1,2026-01-26 22:42:14,5.47.1,mau komplain koinnya makin kesini makin dikit aja sih ngeselin dehh mana sekarang ada voucher nya lagi kaya gopay ga full koin lagi padahal dapet banyak koin ngebantu aku banget loh buat bayar tagihan yang mahal ini aku jadi punya sedikit saldo buat beli mie instan di online soalnya aku ga selalu punya uang kalo abis bayar tagihan gojekk ngeselin parah
sangat membantu perjalanan,5,1,,2026-01-26 22:39:27,,sangat membantu perjalanan
selalu seru dan keren pake gojek sangat amat membantu di saat bepergian,5,1,5.37.1,2026-01-26 20:04:56,5.37.1,selalu seru dan keren pake gojek sangat amat membantu di saat bepergian
driver nya gak ada,4,1,,2026-01-26 19:44:36,,driver nya gak ada
bagus,5,1,5.46.2,2026-01-26 19:07:32,5.46.2,bagus
"kak di daerah saya banyak bgt kulineran tetapi belum ada gofood, saya siap jadi sales gofood untuk mencari resto yg mau bermitra.. gimana ya caranya??",5,1,5.47.1,2026-01-26 18:57:58,5.47.1,kak di daerah saya banyak bgt kulineran tetapi belum ada gofood saya siap jadi sales gofood untuk mencari resto yg mau bermitra gimana ya caranya
mantap,5,1,5.47.1,2026-01-26 17:09:58,5.47.1,mantap
nice,5,1,5.47.1,2026-01-26 17:05:27,5.47.1,nice
"customer service kurang membantu pada saat terjadi masalah. masalah dibiarkan menggantung tanpa solusi, padahal problem ada di sistem. kasihan driver dan kostumer dibiarkan begitu saja.",1,0,5.46.2,2026-01-26 16:39:00,5.46.2,customer service kurang membantu pada saat terjadi masalah masalah dibiarkan menggantung tanpa solusi padahal problem ada di sistem kasihan driver dan kostumer dibiarkan begitu saja
dapet driver pesanan saya diterima tapi gak berangkat sampai driver nya diganti otomatis,1,0,5.46.2,2026-01-26 16:16:23,5.46.2,dapet driver pesanan saya diterima tapi gak berangkat sampai driver nya diganti otomatis
"suka pakai gojek tapi sayangnya kalo pesen gofood ongkirnya mehong, klo gk benar2 punya uang gk berani pesan gofood pakai gojek.",5,1,5.47.1,2026-01-26 16:13:45,5.47.1,suka pakai gojek tapi sayangnya kalo pesen gofood ongkirnya mehong klo gk benar2 punya uang gk berani pesan gofood pakai gojek
Tolong tambahkan pembayaran deng QRIS,3,0,5.47.1,2026-01-26 15:57:42,5.47.1,tolong tambahkan pembayaran deng qris
mantap lah,5,1,5.47.1,2026-01-26 15:40:37,5.47.1,mantap lah
bagus,5,1,5.46.2,2026-01-26 15:36:29,5.46.2,bagus
Keberadaan Gojek dpt membantu kebutuhan transportasi masyarakat.,5,1,,2026-01-26 15:35:36,,keberadaan gojek dpt membantu kebutuhan transportasi masyarakat
memuaskan,5,1,5.46.2,2026-01-26 15:13:04,5.46.2,memuaskan
bagus,5,1,5.47.1,2026-01-26 15:10:26,5.47.1,bagus
"ada bug bagian penyiaran pesanan, direfresh msih ga berubah, dan gabisa kembali, harus nutup aplikasinya dulu bru bisa",3,0,,2026-01-26 14:46:16,,ada bug bagian penyiaran pesanan direfresh msih ga berubah dan gabisa kembali harus nutup aplikasinya dulu bru bisa
bagus,5,1,5.46.2,2026-01-26 14:44:24,5.46.2,bagus
mantef,5,1,5.47.1,2026-01-26 14:33:46,5.47.1,mantef
"goblog aplikasinya, saldo sudah di ambil tapi tidak ada tindak lanjut penjemputan nyaa",1,0,5.47.1,2026-01-26 14:09:15,5.47.1,goblog aplikasinya saldo sudah di ambil tapi tidak ada tindak lanjut penjemputan nyaa
selama aku pake gojek atau pun grab pelayanan nya sangat ramah,5,1,,2026-01-26 14:06:35,,selama aku pake gojek atau pun grab pelayanan nya sangat ramah
bad iklan itu aja cukup,1,0,5.47.1,2026-01-26 14:02:02,5.47.1,bad iklan itu aja cukup
gojek ku keren..👍,5,1,,2026-01-26 13:51:55,,gojek ku keren
sukaa bangetttt aplikasinhaaa!!!!!!! banyak promo sama ah itu lah pokonyaa🌟💓💐🌸,5,1,5.46.2,2026-01-26 13:29:24,5.46.2,sukaa bangetttt aplikasinhaaa banyak promo sama ah itu lah pokonyaa
"potongannya gila banget hampir 60 persen,,total pembayaran pelanggan 40.000, driver menerima 13.000 mana jemputnya pasti jauh banget ..",1,0,5.45.1,2026-01-26 13:27:49,5.45.1,potongannya gila banget hampir 60 persen total pembayaran pelanggan 40 000 driver menerima 13 000 mana jemputnya pasti jauh banget
oke,5,1,5.46.2,2026-01-26 13:26:04,5.46.2,oke
good job,5,1,5.46.2,2026-01-26 13:20:06,5.46.2,good job
"driver sering yg jauh di kasih,",1,0,,2026-01-26 13:18:54,,driver sering yg jauh di kasih
driver nya pada sombong angkuh gamau angkut dengan bayaran yang tertera diaplikasi,1,0,5.46.2,2026-01-26 13:03:45,5.46.2,driver nya pada sombong angkuh gamau angkut dengan bayaran yang tertera diaplikasi
great,5,1,5.47.1,2026-01-26 12:58:06,5.47.1,great
"untuk gofood jelek bgt, proses pembatalan nya sangat cepat hitungan detik langsung hilang, tidak ada lebih dari 15 detik, sangat tidak profesional",1,0,5.47.1,2026-01-26 12:38:29,5.47.1,untuk gofood jelek bgt proses pembatalan nya sangat cepat hitungan detik langsung hilang tidak ada lebih dari 15 detik sangat tidak profesional
transaksi lebih mudah,5,1,5.46.2,2026-01-26 12:37:46,5.46.2,transaksi lebih mudah
"awal-awal apk ini normal pemakaian tapi tiba2 kok gopay later tidak bisa digunakan dan muncul ""Transaksi Gopay later gagal karena aktivitas tidak wajar"" pembayaran saya lancar dan padahal mau transaksi beli kuota dan belanja ditokped juga top up game.... tolong dong ini penting buat transaksi mau beli ini itu dan belanja jadi tidak bisa.... kenapa begini?",1,0,4.64.2,2026-01-26 12:36:48,4.64.2,awal awal apk ini normal pemakaian tapi tiba2 kok gopay later tidak bisa digunakan dan muncul transaksi gopay later gagal karena aktivitas tidak wajar pembayaran saya lancar dan padahal mau transaksi beli kuota dan belanja ditokped juga top up game tolong dong ini penting buat transaksi mau beli ini itu dan belanja jadi tidak bisa kenapa begini
baru coba,4,1,,2026-01-26 12:33:13,,baru coba
Aplikasi yang sangat membantu kehidupan,5,1,,2026-01-26 12:24:31,,aplikasi yang sangat membantu kehidupan
gk bisa di donwload,5,1,,2026-01-26 12:19:18,,gk bisa di donwload
lengkap layananya,5,1,5.46.2,2026-01-26 12:07:14,5.46.2,lengkap layananya
Aplikasi lemot susah dapet driver sekarang.. apa sih kerjanya ini,1,0,5.36.2,2026-01-26 12:03:08,5.36.2,aplikasi lemot susah dapet driver sekarang apa sih kerjanya ini
Pokoknya mantap 👍👍👍👍👍,5,1,5.45.1,2026-01-26 12:02:52,5.45.1,pokoknya mantap
buagusss pol,5,1,5.46.2,2026-01-26 11:59:51,5.46.2,buagusss pol
selalu dalam hospitality bagus,5,1,5.47.1,2026-01-26 11:56:47,5.47.1,selalu dalam hospitality bagus
baik,5,1,5.47.1,2026-01-26 11:41:59,5.47.1,baik
profesional,5,1,5.45.1,2026-01-26 11:36:35,5.45.1,profesional
cepat,5,1,5.47.1,2026-01-26 11:32:21,5.47.1,cepat
mantap dan nyaman😊,5,1,5.45.1,2026-01-26 11:31:54,5.45.1,mantap dan nyaman
aplikasi yang bagus,5,1,,2026-01-26 11:25:01,,aplikasi yang bagus
"Gua pernah diturunin tengah jalan sama driver gocar. Tujuan telukgong ke Sunter Jakarta Utara . orderan terakhir ke tujuan tsb. Driver bangsa chindo. Maksa org harus naik tol. Sepanjang jalan ngomel . Makin kesini aplikasi ini makin gak karuan sumpah. Banyak driver mobil nya songong . Pernah satu kali driver nyetir sambil lihat hp, ini di Palembang . Nyetirnya lamban Krn mencetin hp . udah gitu sekarang makin kesini ngasih driver yg jaraknya jauh . kebanyakan di cansel driver",1,0,5.47.1,2026-01-26 11:19:55,5.47.1,gua pernah diturunin tengah jalan sama driver gocar tujuan telukgong ke sunter jakarta utara orderan terakhir ke tujuan tsb driver bangsa chindo maksa org harus naik tol sepanjang jalan ngomel makin kesini aplikasi ini makin gak karuan sumpah banyak driver mobil nya songong pernah satu kali driver nyetir sambil lihat hp ini di palembang nyetirnya lamban krn mencetin hp udah gitu sekarang makin kesini ngasih driver yg jaraknya jauh kebanyakan di cansel driver
"Tambahin metode pembayaran via QRIS untuk gofood, goride, gocar, dan gomart lah. Udah 2026, metode pembayarannya masih kuno",1,0,,2026-01-26 11:09:42,,tambahin metode pembayaran via qris untuk gofood goride gocar dan gomart lah udah 2026 metode pembayarannya masih kuno
Bagus,5,1,5.46.2,2026-01-26 11:05:29,5.46.2,bagus
good,5,1,5.46.2,2026-01-26 10:51:02,5.46.2,good
driver menyebaLkan.,1,0,,2026-01-26 10:48:58,,driver menyebalkan
best,5,1,5.46.2,2026-01-26 10:45:13,5.46.2,best
metode pembayaran di BESARIN! dong biar orang tuh liat dengan jelas jangan di taro bawah pojok gitu.,4,1,,2026-01-26 10:33:11,,metode pembayaran di besarin dong biar orang tuh liat dengan jelas jangan di taro bawah pojok gitu
"parah sih gojek udh ga mau ambil orderan ojek,,, pd cancel tiap coba pakai gojek",1,0,5.35.1,2026-01-26 10:21:56,5.35.1,parah sih gojek udh ga mau ambil orderan ojek pd cancel tiap coba pakai gojek
"sy order 2 kali hari ini, dan di tolak sama gojeknya tanpa alesan yang tentu. saya ga pernah komplen ke driver mana pun atau bayar kurang atau hal lainnya, tapi saya di tolak aja sama drivernya kadang malah saya kasih tip berlebih. jujur saya kecewa, dan mereka nolak dengan cara yang sama. pertama nelepon, abis itu nanyain tempatnya dimana, abis saya kasih tau mereka bilang ""oh"" dan di tolak gitu aja.",2,0,5.46.2,2026-01-26 10:08:26,5.46.2,sy order 2 kali hari ini dan di tolak sama gojeknya tanpa alesan yang tentu saya ga pernah komplen ke driver mana pun atau bayar kurang atau hal lainnya tapi saya di tolak aja sama drivernya kadang malah saya kasih tip berlebih jujur saya kecewa dan mereka nolak dengan cara yang sama pertama nelepon abis itu nanyain tempatnya dimana abis saya kasih tau mereka bilang oh dan di tolak gitu aja
siip,5,1,5.46.2,2026-01-26 9:55:33,5.46.2,siip
oke,5,1,5.47.1,2026-01-26 9:43:00,5.47.1,oke
ok,5,1,,2026-01-26 9:41:11,,ok
bintang Tujuh,5,1,,2026-01-26 9:39:26,,bintang tujuh
mantap,5,1,5.47.1,2026-01-26 9:28:33,5.47.1,mantap
Top,5,1,5.28.2,2026-01-26 9:10:09,5.28.2,top
tolong aplikasi nya di benerin lagi,3,0,5.47.1,2026-01-26 8:56:32,5.47.1,tolong aplikasi nya di benerin lagi
well-done,5,1,,2026-01-26 8:56:12,,well done
"aplikasi rusak, jelek, sangat buruk, dari csnya juga jelek, semua saran bantuannya ga ada yang membantu, lebih baik tidak usah di gunakan lagi.",1,0,,2026-01-26 8:54:03,,aplikasi rusak jelek sangat buruk dari csnya juga jelek semua saran bantuannya ga ada yang membantu lebih baik tidak usah di gunakan lagi
"Driver pada terlalu pilih pilih, berkali jali order, drivernya ga jelas, ada yang ga respon tp mapsnya berlawanan, ada yg to the point minta di cancle, ga jelas.",1,0,,2026-01-26 8:42:05,,driver pada terlalu pilih pilih berkali jali order drivernya ga jelas ada yang ga respon tp mapsnya berlawanan ada yg to the point minta di cancle ga jelas
Sangat di butuh kan dan aplikasi yang mendukung di saat urgent,5,1,5.45.1,2026-01-26 8:21:33,5.45.1,sangat di butuh kan dan aplikasi yang mendukung di saat urgent
Sangat membantu,5,1,5.47.1,2026-01-26 8:16:15,5.47.1,sangat membantu
saya sangat puas pada driver Gojek yang saya naik saat hari Kamis kebetulan menuju tempat tinggal saya harus melalui banjir2 namun Driver itu tetap sabar bertahan macet2 dan mau mutar2 cari ajses yang aman tidak harus nyemplung banjir meski sudah tiga kali putar2 mencoba terus mengantar sampai tujuan walau waktu sangat lama .,5,1,5.45.1,2026-01-26 8:10:52,5.45.1,saya sangat puas pada driver gojek yang saya naik saat hari kamis kebetulan menuju tempat tinggal saya harus melalui banjir2 namun driver itu tetap sabar bertahan macet2 dan mau mutar2 cari ajses yang aman tidak harus nyemplung banjir meski sudah tiga kali putar2 mencoba terus mengantar sampai tujuan walau waktu sangat lama
hm skg voucher gofood dikit bgt polllllll dlu srg gofood skg pindh apk oren yg dmn byk voucher plus potongan ongkir lumayan bahkan jauh bgtt np yaaa kd kecewa kl tiap buka gofood udh trlnjr malas. mksh,3,0,5.47.1,2026-01-26 8:09:45,5.47.1,hm skg voucher gofood dikit bgt polllllll dlu srg gofood skg pindh apk oren yg dmn byk voucher plus potongan ongkir lumayan bahkan jauh bgtt np yaaa kd kecewa kl tiap buka gofood udh trlnjr malas mksh
bagus. pelayanan cepat,5,1,,2026-01-26 8:02:16,,bagus pelayanan cepat
"aplikasinya yang mantap, bisa kemana mana, dengan ongkos terjangkau",5,1,5.47.1,2026-01-26 7:59:25,5.47.1,aplikasinya yang mantap bisa kemana mana dengan ongkos terjangkau
okeee,5,1,5.47.1,2026-01-26 7:53:41,5.47.1,okeee
"bagus, tp sering eror. mhn ditingkatkan.",5,1,5.46.2,2026-01-26 7:51:24,5.46.2,bagus tp sering eror mhn ditingkatkan
kecewa ga bisa bayar pake dana... saya kasih b1,1,0,5.46.2,2026-01-26 7:36:09,5.46.2,kecewa ga bisa bayar pake dana saya kasih b1
good job,2,0,5.47.1,2026-01-26 7:16:42,5.47.1,good job
sangat menbantu,5,1,5.47.1,2026-01-26 7:15:07,5.47.1,sangat menbantu
Drivernya baik dan sopan,5,1,5.46.2,2026-01-26 7:05:06,5.46.2,drivernya baik dan sopan
sangat berguna,5,1,5.47.1,2026-01-26 6:57:57,5.47.1,sangat berguna
"ini kenapa hematnya di ilangin yah,mau ngorder yang hemat ga bisa buat ke stasiun,jadi males pake gojek",1,0,,2026-01-26 6:45:31,,ini kenapa hematnya di ilangin yah mau ngorder yang hemat ga bisa buat ke stasiun jadi males pake gojek
nyaman,5,1,5.42.1,2026-01-26 6:34:53,5.42.1,nyaman
"akhir2 ini gosend susah cari driver, sekalinya dpt driver di chat ga balas2 ditelp gak diangkat.. payahhh mengecewakan sekarang... jujur lebih suka maxim.. drivernya lebih sungguh2 kerjanya.. tarif lebih murah!!",1,0,5.41.1,2026-01-26 6:26:17,5.41.1,akhir2 ini gosend susah cari driver sekalinya dpt driver di chat ga balas2 ditelp gak diangkat payahhh mengecewakan sekarang jujur lebih suka maxim drivernya lebih sungguh2 kerjanya tarif lebih murah
drifernya ramah,5,1,5.47.1,2026-01-26 6:12:30,5.47.1,drifernya ramah
Menu Gopinjamnya Tidak Jelas,2,0,5.44.1,2026-01-26 5:49:41,5.44.1,menu gopinjamnya tidak jelas
ok,5,1,5.47.1,2026-01-26 5:42:42,5.47.1,ok
"kalo ada masalah penipuan jangan lapor cs yg ada tabungan Gopay diblokir terus buat ngebukanya susah banget saya telpon udah lebih dari 5x dan ngabisin uang...harusnya buat bayaran cicilan gk bisa. karena Gopay tabungan dblokir.ua g disitu ,sangat kecewa sekali bukan ya melapor dapet apresiasi malah tabungan diblokir buat bayar jd gk bisa.",1,0,,2026-01-26 5:39:07,,kalo ada masalah penipuan jangan lapor cs yg ada tabungan gopay diblokir terus buat ngebukanya susah banget saya telpon udah lebih dari 5x dan ngabisin uang harusnya buat bayaran cicilan gk bisa karena gopay tabungan dblokir ua g disitu sangat kecewa sekali bukan ya melapor dapet apresiasi malah tabungan diblokir buat bayar jd gk bisa
"Setiap buka gojek.selalu minta update, ngeselin!!!",5,1,5.45.1,2026-01-26 5:25:38,5.45.1,setiap buka gojek selalu minta update ngeselin
dear customer2 yg terhormat. terima kasih dan mohon maav yg sebesar2nya. berhubung skrng pt gojek indonesia semakin haus akan keuntungan. layanan goride harus berbayar. sedangkan modal 70 persen kami yg tanggung. mohon maav apabila pelayanan yg di berikan agak kurang profesional.,1,0,,2026-01-26 5:16:22,,dear customer2 yg terhormat terima kasih dan mohon maav yg sebesar2nya berhubung skrng pt gojek indonesia semakin haus akan keuntungan layanan goride harus berbayar sedangkan modal 70 persen kami yg tanggung mohon maav apabila pelayanan yg di berikan agak kurang profesional
